src,dst,relation
2676750,Financial District,Has Property
5179817,Flatiron District,Has Property
102032572,East New York,Has Property
32625342,Kingsbridge,Has Property
23726672,Chinatown,Has Property
75275467,Port Morris,Has Property
87588590,Midtown,Has Property
50553518,Midtown East,Has Property
10134825,Lower East Side,Has Property
49523428,NULL,Has Property
39863496,NULL,Has Property
10278592,Sunset Park,Has Property
17279490,Tribeca,Has Property
36232131,NULL,Has Property
72677655,Nolita,Has Property
5808572,Park Slope,Has Property
1837590,Park Slope,Has Property
6471461,NULL,Has Property
106423705,NULL,Has Property
1962620,Morningside Heights,Has Property
5317455,Morningside Heights,Has Property
14401983,Upper West Side,Has Property
100099095,NULL,Has Property
10762834,Jackson Heights,Has Property
30241163,East Flatbush,Has Property
33403059,Crown Heights,Has Property
201390,West Village,Has Property
4802489,Père Lachaise - Ménilmontant,Has Property
20557064,Saint-Michel,Has Property
19058780,Buttes-Chaumont - Belleville,Has Property
7744735,NULL,Has Property
6285781,Panthéon,Has Property
89507259,Panthéon,Has Property
2726407,NULL,Has Property
109009168,Passy,Has Property
5377677,NULL,Has Property
10680413,Panthéon,Has Property
46534498,NULL,Has Property
48489928,Passy,Has Property
23084696,Alésia,Has Property
52269380,NULL,Has Property
50810320,NULL,Has Property
4514582,Kensington Market,Has Property
26144809,The Annex,Has Property
425848,The Annex,Has Property
2844161,NULL,Has Property
5628650,Entertainment District,Has Property
25537948,Greenwood-Coxwell,Has Property
34942887,High Park North,Has Property
33467687,High Park North,Has Property
12015522,Dovercourt Park,Has Property
117201562,Manly,Has Property
38141476,Woollahra,Has Property
7690556,Burwood,Has Property
62286854,NULL,Has Property
85634217,Niagara,Has Property
24411527,Niagara,Has Property
19388282,Trinity-Bellwoods,Has Property
4292830,Twin Peaks,Has Property
7479539,Richmond District,Has Property
4254244,Pacific Heights,Has Property
45407614,Bayview,Has Property
31170182,NULL,Has Property
19367299,Islington,Has Property
3970970,LB of Hackney,Has Property
118218467,NULL,Has Property
71089816,NULL,Has Property
46973571,Millbank,Has Property
3847534,Clerkenwell,Has Property
58665270,LB of Islington,Has Property
6658645,LB of Islington,Has Property
10195976,Venice,Has Property
30348413,La Latina,Has Property
100048344,Lakeview,Has Property
12059561,Portage Park,Has Property
7999117,Frederiksberg,Has Property
17255078,North Park Hill,Has Property
8697449,South Park Hill,Has Property
61256033,LoDo,Has Property
24689376,NULL,Has Property
42223081,LB of Barnet,Has Property
3028631,LB of Redbridge,Has Property
1796142,NULL,Has Property
61008312,NULL,Has Property
469180,NULL,Has Property
48609755,NULL,Has Property
7270364,NULL,Has Property
44765941,Hollywood,Has Property
632715,Echo Park,Has Property
23160530,East Hollywood,Has Property
17222823,NULL,Has Property
90287335,NULL,Has Property
4164174,NULL,Has Property
3451360,NULL,Has Property
115742390,Marina Del Rey,Has Property
16574185,Los Feliz,Has Property
2772964,Mid-Wilshire,Has Property
23834250,Mid-Wilshire,Has Property
94998677,NULL,Has Property
30656727,Inglewood,Has Property
92678936,Mar Vista,Has Property
26038203,Vauxhall,Has Property
26350314,Brixton,Has Property
50291093,NULL,Has Property
6621828,Southwark,Has Property
54994898,NULL,Has Property
59780124,NULL,Has Property
7909365,South Lambeth,Has Property
49803269,Montecito Heights,Has Property
5792870,Mar Vista,Has Property
79889192,South Robertson,Has Property
33127238,West Los Angeles,Has Property
98315858,Santa Monica,Has Property
3379584,LB of Haringey,Has Property
13108795,West Adams,Has Property
52522714,NULL,Has Property
116989053,LB of Richmond upon Thames,Has Property
23723951,LB of Richmond upon Thames,Has Property
26600729,NULL,Has Property
99609519,NULL,Has Property
11199868,NULL,Has Property
38491338,NULL,Has Property
88013825,NULL,Has Property
21069741,NULL,Has Property
2324024,NULL,Has Property
14925462,NULL,Has Property
1942370,NULL,Has Property
15171700,NULL,Has Property
15379423,NULL,Has Property
22813668,NULL,Has Property
36534729,NULL,Has Property
15772226,NULL,Has Property
88734432,Østerbro,Has Property
73546587,NULL,Has Property
46017012,Østerbro,Has Property
5531434,Frederiksberg,Has Property
40118631,Nørrebro,Has Property
97662804,NULL,Has Property
10543472,Nørrebro,Has Property
15220450,Vesterbro,Has Property
2473872,Vesterbro,Has Property
33759123,Vesterbro,Has Property
45360058,Vesterbro,Has Property
