id,state,country,city
2676750,NY,United States,New York
5179817,NY,United States,New York
102032572,NY,United States,Brooklyn
32625342,NY,United States,Bronx
23726672,NY,United States,New York
75275467,NY,United States,Bronx
87588590,NY,United States,New York
50553518,NY,United States,New York
10134825,NY,United States,New York
49523428,NY,United States,New York
39863496,NY,United States,New York
10278592,NY,United States,Brooklyn
17279490,NY,United States,New York
36232131,NY,United States,Quenns
72677655,NY,United States,New York
5808572,NY,United States,Brooklyn
1837590,NY,United States,Brooklyn
6471461,NY,United States,Ridgewood
106423705,NY,United States,New York
1962620,NY,United States,New York
5317455,NY,United States,New York
14401983,NY,United States,New York
100099095,NY,United States,New York
10762834,NY,United States,Queens
30241163,NY,United States,Brooklyn
33403059,NY,United States,Brooklyn
201390,NY,United States,New York
4802489,Île-de-France,France,Paris
20557064,Île-de-France,France,Paris
19058780,Île-de-France,France,Paris
7744735,Île-de-France,France,Paris
6285781,Île-de-France,France,Paris
89507259,Île-de-France,France,Paris
2726407,Île-de-France,France,Paris
109009168,Île-de-France,France,Paris
5377677,Île-de-France,France,Paris
10680413,Île-de-France,France,Paris
46534498,IDF,France,Paris
48489928,Île-de-France,France,Paris
23084696,Île-de-France,France,Paris
52269380,Ontario,Canada,Toronto
50810320,ON,Canada,Toronto
4514582,ON,Canada,Toronto
26144809,ON,Canada,Toronto
425848,ON,Canada,Toronto
2844161,ON,Canada,Toronto
5628650,ON,Canada,Toronto
25537948,ON,Canada,Toronto
34942887,ON,Canada,Toronto
33467687,ON,Canada,Toronto
12015522,ON,Canada,Toronto
117201562,NSW,Australia,Manly
38141476,NSW,Australia,Woollahra
7690556,NSW,Australia,Burwood
62286854,ON,Canada,Toronto
85634217,ON,Canada,Toronto
24411527,ON,Canada,Toronto
19388282,ON,Canada,Toronto
4292830,CA,United States,San Francisco
7479539,CA,United States,San Francisco
4254244,CA,United States,San Francisco
45407614,CA,United States,San Francisco
31170182,England,United Kingdom,London
19367299,,United Kingdom,London
3970970,,United Kingdom,London
118218467,England,United Kingdom,London
71089816,England,United Kingdom,London
46973571,,United Kingdom,London
3847534,,United Kingdom,London
58665270,England,United Kingdom,London
6658645,Greater London,United Kingdom,London
10195976,CA,United States,Los Angeles
30348413,Comunidad de Madrid,Spain,Madrid
100048344,IL,United States,Chicago
12059561,IL,United States,Chicago
7999117,,Denmark,Frederiksberg
17255078,CO,United States,Denver
8697449,CO,United States,Denver
61256033,CO,United States,Denver
24689376,Hovedstaden,Denmark,Frederiksberg
42223081,,United Kingdom,Edgware
3028631,,United Kingdom,London
1796142,England,United Kingdom,London
61008312,CA,United States,Los Angeles
469180,England,United Kingdom,Tottenham
48609755,,United Kingdom,London
7270364,CA,United States,Arcadia
44765941,CA,United States,West Hollywood
632715,CA,United States,Los Angeles
23160530,CA,United States,Los Angeles
17222823,CA,United States,Claremont
90287335,CA,United States,Los Angeles
4164174,CA,United States,Los Angeles
3451360,CA,United States,Burbank
115742390,CA,United States,Marina del Rey
16574185,CA,United States,Los Angeles
2772964,CA,United States,Los Angeles
23834250,CA,United States,Los Angeles
94998677,CA,United States,Los Angeles
30656727,CA,United States,Inglewood
92678936,CA,United States,Los Angeles
26038203,,United Kingdom,London
26350314,,United Kingdom,London
50291093,England,United Kingdom,London
6621828,,United Kingdom,Greater London
54994898,England,United Kingdom,London
59780124,England,United Kingdom,London
7909365,Greater London,United Kingdom,Nine Elms
